resourceId,oper_inst_nm,charging_station,charger_id,charger_type,fclt_se_l,fclt_se_s,region,sgg,address,utztn_psblty_tm,utztn_user_lmt,charging_capacity,con_pvsn,remark,lat,lon,charger_count
33,서울시,서울물재생시설공단,01,DC콤보,공공시설,공공기관,서울특별시,"강남구 ",서울특별시 강남구 일원동 580 공단 본사 주차장서울물재생시설공단 본사 주차장,24시간 이용가능,,급속(100kW동시),,,37.49656762332147,127.08344243036782,2
34,서울시,서울시 본관청사,05,DC콤보,공공시설,관공서,서울특별시,"중구 ","서울특별시 중구 세종대로 110 (태평로1가, 서울특별시청) 지하2층 24번 기둥","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW동시),,,37.566700969,126.97834678,4
35,서울시,성동구 마장동 거주자우선주차장 가로등형 충전기,01,DC콤보,기타시설,기타,서울특별시,"성동구 ",서울특별시 성동구 마장동 775-2 트레저힐스 (서울특별시 성동구 마조로19길 18 전기차 충전소),평일 09:00~18:00,,급속(50kW단독),,,37.5654543647153,127.04020714590288,1
36,서울시,성동구청,01,DC차데모+AC3상+DC콤보,공공시설,관공서,서울특별시,"성동구 ","서울특별시 성동구 고산자로 270 (행당동, 성동구청) 지하2층 F7번 구역","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),,,37.563428014,127.036908072,1
37,서울시,성북구의회,01,DC콤보,공공시설,관공서,서울특별시,"성북구 ",서울특별시 성북구 북악산로 949-60 성북구의회 주차장,24시간 이용가능,,급속(50kW단독),,,37.596883843,127.026231197,1
38,서울시,송월동차고지,04,DC콤보,관광시설,박물관,서울특별시,"종로구 ","서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW동시),,,37.570757996999994,126.96644865100001,13
39,서울시,수락산디자인거리 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"노원구 ",서울특별시 노원구 상계동 1119 해주네 곰탕 앞해주네곰팅 잎,24시간 이용가능,,급속(50kW단독),,,37.67584101859028,127.05624640039731,1
40,서울시,수서역 공영주차장 복합충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"강남구 ","서울특별시 강남구 광평로47길 28 (수서동, 수서역 공영주차장) 지상1층 정면 10M지점",24시간 이용가능,,급속(200kW동시),,,37.48848576,127.09880674199998,6
41,서울시,청계5 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"중구 ",서울특별시 중구 동호로 378-2 지하상가 입구 인근청계5가 지하쇼핑센터 입구 인근,24시간 이용가능,,급속(50kW단독),,,37.568141044,127.00243622,2
42,서울시,수유동 가오천 공영주차장 전기차 충전소,01,AC완속,주차시설,공영주차장,서울특별시,"강북구 ",서울특별시 강북구 한천로150길 20 가오천노상공영주차장,24시간 이용가능,,완속(7kW단독),,,37.643444396,127.023668695,1
43,서울시,50동부캠퍼스,01,AC완속,공공시설,지자체시설,서울특별시,"광진구 ",서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),,,37.534817814,127.063686942,13
44,서울시,AI 체육센터,01,AC완속,공공시설,주민센터,서울특별시,"서초구 ",서울특별시 서초구 태봉로 108 AI 체육센터,24시간 이용가능,,완속(7kW단독),,,37.466785271,127.027791283,2
45,서울시,SK허브수 인근 거주자우선주차장,01,AC완속,주차시설,공영주차장,서울특별시,"구로구 ","서울특별시 구로구 구일로10길 27 (구로동, SK허브수) 지상1층 A동 앞 노상공영주차장서부간선도로측 거주자우선주차장",24시간 이용가능,,완속(7kW단독),,,37.495867426,126.872086151,2
46,서울시,가산 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"금천구 ","서울특별시 금천구 시흥대로153길 53 (가산동, 가산공영주차장) 지상 3층 옥상 진입로 왼쪽 10M","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),,,37.476689625,126.895576631,1
47,서울시,강남구 압구정 나들목 앞 가로등형 충전기,01,DC콤보,주차시설,일반주차장,서울특별시,"강남구 ",서울특별시 강남구 압구정로 321 (서울특별시 강남구 선릉로189길 2 전기차충전소)압구정 나들 앞(선릉로 189길),24시간 이용가능,,급속(50kW단독),,,37.530466335,127.039524862,2
48,서울시,강남운전면허시험장,01,DC콤보,공공시설,공공기관,서울특별시,"강남구 ",서울특별시 강남구 테헤란로114길 23 주차장 출구 인근주차장 출구 인근,평일 09:00~18:00,,급속(50kW단독),,,37.508617657,127.067414101,1
49,서울시,강남주민편익시설,01,DC콤보,공공시설,지자체시설,서울특별시,"강남구 ",서울특별시 강남구 남부순환로 3318 강남주민편익시설 입구입구 초입,24시간 이용가능,,급속(50kW단독),,,37.493594784,127.092451095,4
