resourceId,name,address,code,lat,lon,total_parking,basic_fee,add_fee,add_unit_min,daily_max_fee,prk_hm,last_sync,pklt_knd,pklt_knd_nm
173238,대림3동 공영주차장(구),영등포구 대림동 745-1,173238,37.49799341465028,126.9004171912196,99,50,50,5,,5,2023-06-30T06:37:15.000Z,NW,노외 주차장
173245,대림2동공영(구),영등포구 대림동 1072-25,173245,37.49153427328946,126.89965038511835,151,50,50,5,0,5,2023-06-30T06:34:20.000Z,NW,노외 주차장
173246,도림초교공영(구),영등포구 신길동 285-1,173246,37.503273847,126.903340891,145,50,50,5,0,5,2023-06-30T07:00:11.000Z,NW,노외 주차장
173250,대림1동공영(구),영등포구 대림동 834-1,173250,37.49314995765272,126.90167201923883,155,100,100,5,0,5,2023-06-30T06:40:57.000Z,NW,노외 주차장
173261,흑석빗물펌프장공영주차장(구),동작구 흑석동 105-0,173261,37.50784615,126.965585983,45,190,190,5,35000,5,2019-06-10T00:33:39.000Z,NW,노외 주차장
173262,도림동 공영주차장(구),영등포구 도림동 226-13,173262,37.50835242977602,126.89678010302455,26,50,50,5,0,5,2023-06-30T06:44:34.000Z,NW,노외 주차장
173277,대림어린이공원 공영(구),영등포구 대림동 870-0,173277,37.491202704455674,126.90328065466636,198,100,100,5,0,5,2023-06-30T06:42:46.000Z,NW,노외 주차장
173278,공유) 성대주차장(구),동작구 상도동 259-27,173278,37.497255,126.933865,28,0,0,0,0,0,2023-07-07T02:03:53.000Z,NW,노외 주차장
173285,구릉주차장(구),동작구 신대방동 351-14,173285,37.49872469736528,126.92747612068729,22,150,150,5,,5,2019-06-10T00:33:40.000Z,NW,노외 주차장
173286,공유) 은행나무골(구),동작구 사당동 297-1,173286,37.481083,126.97161,22,0,0,0,0,0,2023-07-07T02:18:12.000Z,NW,노외 주차장
173289,서광주차장(구),동작구 신대방동 607-45,173289,37.48876798809694,126.90781850894807,60,150,150,5,35000,5,2019-06-10T00:33:41.000Z,NW,노외 주차장
173291,대방생태공영주차장(구),동작구 대방동 395-1,173291,37.50017911559854,126.9262824348776,39,150,150,5,35000,5,2019-06-10T00:34:38.000Z,NW,노외 주차장
173299,신길4동1마을공원 공영(구),영등포구 신길동 232-20,173299,37.50717813868028,126.91162817235158,130,50,50,5,0,5,2023-06-30T06:56:29.000Z,NW,노외 주차장
173329,원신공영주차장(구),관악구 신림동 366-0,173329,37.486662603,126.913797348,174,50,50,5,0,5,2019-06-10T00:34:51.000Z,NW,노외 주차장
173333,조원동 제1공영주차장(구),관악구 신림동 571-6,173333,37.48107376890814,126.90570692457868,108,250,250,5,0,5,2019-06-10T00:34:52.000Z,NW,노외 주차장
173353,보라매제1공영주차장(구),관악구 봉천동 110-4,173353,37.48854545578129,126.93452654396296,133,50,50,5,0,5,2019-06-10T00:34:53.000Z,NW,노외 주차장
173359,대치2문화센터 공영주차장(구),강남구 대치동 980-9,173359,37.50225681896414,127.06416561675059,159,300,300,5,,5,2020-07-08T02:12:39.000Z,NW,노외 주차장
173362,행운동제1공영주차장(舊 봉천6동 까치공영주차장)(구),관악구 봉천동 1677-10,173362,37.47992457672021,126.9606704150663,79,150,150,5,0,5,2019-06-10T00:34:55.000Z,NW,노외 주차장
173389,구룡산제2호(구),강남구 개포동 126-2,173389,37.47725982,127.06647741,127,200,200,5,,5,2020-07-08T09:05:36.000Z,NW,노외 주차장
173405,양재주차빌딩(구),서초구 양재동 90-2,173405,37.4785965468511,127.0413541369082,98,300,300,10,0,10,2019-06-10T00:34:59.000Z,NW,노외 주차장
173424,일원역 공영주차장(시),강남구 일원동 716-2,173424,37.48468629,127.08408987,67,170,170,5,12200,5,2024-08-13T01:25:20.000Z,NW,노외 주차장
173437,탄천 공영주차장(구),강남구 대치동 78-25,173437,37.508632520449495,127.06837692554396,61,100,,,,5,2024-07-30T01:49:39.000Z,NW,노외 주차장
173440,논현로32길15 공영주차장(구),강남구 도곡동 516-2,173440,37.48432093793551,127.04340170366922,16,300,300,5,,5,2020-07-08T01:53:41.000Z,NW,노외 주차장
173447,도곡로 421 공영주차장(구),강남구 대치동 939-21,173447,37.49781743104684,127.05646484588064,27,400,400,5,,5,2020-07-07T08:38:03.000Z,NW,노외 주차장
173452,사당노외 공영주차장(시),서초구 방배동 507-1,173452,37.47543791,126.98377372,183,400,400,5,28800,5,2023-12-29T00:59:59.000Z,NW,노외 주차장
173468,개포동공원 공영주차장(구),강남구 개포동 183-2,173468,37.48949036,127.06623841,145,200,200,5,,5,2020-07-08T09:11:34.000Z,NW,노외 주차장
173472,대청역 공영주차장(구),강남구 개포동 13-2,173472,37.49493847412162,127.0793065206814,168,100,100,5,,5,2020-07-08T09:26:20.000Z,NW,노외 주차장
173474,구룡산제1호(구),강남구 개포동 567-23,173474,37.47791276,127.06605468,91,200,200,5,,5,2020-07-08T07:18:46.000Z,NW,노외 주차장
173485,이수 공영주차장(구),서초구 방배동 761-3,173485,37.49610324634991,126.98511993622188,162,300,300,10,,10,2023-07-04T02:15:53.000Z,NW,노외 주차장
173488,시민의숲 동측 공영주차장[양재시민의숲역 4호점](구),서초구 양재동 237-0,173488,37.47230906616217,127.03824187277726,143,250,250,5,0,5,2023-06-26T00:19:13.000Z,NW,노외 주차장
173498,구룡공원 공영주차장(구),서초구 양재동 399-0,173498,37.471637,127.048511,131,150,150,5,0,5,2023-06-26T00:21:09.000Z,NW,노외 주차장
173499,도곡로 327 공영주차장(구),강남구 역삼동 765-22,173499,37.496252072568595,127.05172426667568,17,400,400,5,,5,2020-07-07T09:17:14.000Z,NW,노외 주차장
173521,반포동 방음언덕형 공영주차장(구),서초구 반포동 730-0,173521,37.50485094204363,127.01835021855877,94,300,300,10,0,10,2023-06-26T00:23:55.000Z,NW,노외 주차장
